p,q,rho,CVaR,CVaR.se
0.75,0.25894830122493073,0.5,-0.23135164859697527,0.0013794847977844187
0.75,0.133865033134587,0.9,-0.10185004919348563,0.0016600666844451461
0.75,0.10651631515950223,0.95,-0.07288008885843907,0.002110942088773204
0.75,0.057264602381674454,1,-0.024195133246677877,0.006109924594414586
0.76,0.5207446607720625,-1,-0.45826876812700124,0.0021976593946443686
0.76,0.45379145063209425,-0.5,-0.395521262943119,0.0019317337222429264
0.76,0.3746607350579352,0,-0.32121303339675544,0.001637173399674277
0.76,0.2722789281685083,0.5,-0.22476985122839713,0.0013385972780698746
0.76,0.14018357233735546,0.9,-0.09862512124773125,0.0015979115781457574
0.76,0.11125769813740927,0.95,-0.0703916353159772,0.0020350577333042756
0.76,0.05933182741947124,1,-0.02244229867316507,0.005981592518222336
0.77,0.5482991278303904,-1,-0.4453548888833902,0.0021370699957409815
0.77,0.4776878290633684,-0.5,-0.3843115304959007,0.0018783143603645475
0.77,0.3941878420687013,0,-0.3120181643979973,0.001591240571383892
0.77,0.2861771079459997,0.5,-0.21817991442247567,0.001297869912720888
0.77,0.14670494909107695,0.9,-0.09539597585233872,0.0015357775891071336
0.77,0.11616982081071325,0.95,-0.06789750330804309,0.0019582559461734403
0.77,0.061356095217822114,1,-0.019343928561891113,0.0058084275281193665
0.78,0.5771852929516919,-1,-0.4324093255346309,0.0020764218426535556
0.78,0.502722491201619,-0.5,-0.3730744515505339,0.0018248688761567924
0.78,0.4146735200040641,0,-0.3028010122449713,0.001545343766205018
0.78,0.30073452837533915,0.5,-0.2115743394986735,0.0012572859582880914
0.78,0.15354002025550756,0.9,-0.09215825385573695,0.0014729412213117742
0.78,0.12126940247480553,0.95,-0.06539556922676618,0.0018805536536260724
0.78,0.063040016367232235,1,-0.018951644594593874,0.00569757858370624
